Flight_Number,Lead_Pilot,Scenario_within_flight,Scenario_Type,Autonomy_Config,Num_Tactical_Comms,Correct_Sort,Num_CMs,Lead_Altitude_Deviation_Count,Wingman_Altitude_Deviation_Count,Lead_Altitude_Deviation_Integrated_ft_s,Wingman_Altitude_Deviation_Integrated_ft_s,Proportion_CMs_Intercepted,CM1_Interceptor Role,CM1_Time_to_Intercept_s_from_start,CM1_MOP_Time_to_Intercept_s,CM1_MOP_Time_to_Consent_s,CM1_Airspeed_Diff_at_Intercept_kt,CM1_Heading_Diff_at_Intercept_deg,CM1_Altitude_Offset_at_Intercept_ft,CM1_Distance_from_CM_at_Intercept_nm,CM1_Aspect_at_MELD_Range_deg,CM2_Interceptor Role,CM2_Time_to_Intercept_s_from_start,CM2_MOP_Time_to_Intercept_s,CM2_MOP_Time_to_Consent_s,CM2_Airspeed_Diff_at_Intercept_kt,CM2_Heading_Diff_at_Intercept_deg,CM2_Altitude_Offset_at_Intercept_ft,CM2_Distance_from_CM_at_Intercept_nm,CM2_Aspect_at_MELD_Range_deg,CM3_Interceptor Role,CM3_Time_to_Intercept_s_from_start,CM3_MOP_Time_to_Intercept_s,CM3_MOP_Time_to_Consent_s,CM3_Airspeed_Diff_at_Intercept_kt,CM3_Heading_Diff_at_Intercept_deg,CM3_Altitude_Offset_at_Intercept_ft,CM3_Distance_from_CM_at_Intercept_nm,CM3_Aspect_at_MELD_Range_deg,CM4_Interceptor Role,CM4_Time_to_Intercept_s_from_start,CM4_MOP_Time_to_Intercept_s,CM4_MOP_Time_to_Consent_s,CM4_Airspeed_Diff_at_Intercept_kt,CM4_Heading_Diff_at_Intercept_deg,CM4_Altitude_Offset_at_Intercept_ft,CM4_Distance_from_CM_at_Intercept_nm,CM4_Aspect_at_MELD_Range_deg,CM5_Interceptor Role,CM5_Time_to_Intercept_s_from_start,CM5_MOP_Time_to_Intercept_s,CM5_MOP_Time_to_Consent_s,CM5_Airspeed_Diff_at_Intercept_kt,CM5_Heading_Diff_at_Intercept_deg,CM5_Altitude_Offset_at_Intercept_ft,CM5_Distance_from_CM_at_Intercept_nm,CM5_Aspect_at_MELD_Range_deg,Proportion_SAMs_Identified,SAM1_Time_to_ID_s,SAM2_Time_to_ID_s,SAM3_Time_to_ID_s,SAM4_Time_to_ID_s,SAM5_Time_to_ID_s,SAM6_Time_to_ID_s,SAM7_Time_to_ID_s,SAM8_Time_to_ID_s,SAM9_Time_to_ID_s,SAM10_Time_to_ID_s,Scenario_Duration_s,Avg_SAM_ID_Time_s
3,Chan,3,D,AA,7,Y,6,0,0,0.0,0.0,0.5,Wingman,189.396,64.915,2.618,28.99199999999999,37.773258523579415,12.071451828627689,0.8448475864901498,153.80477535849616,Lead,196.299,51.755,2.89,21.269000000000005,-27.888977597811163,358.4631755273731,0.9900820908439416,168.80554710010688,Lead,287.089,56.281,3.05,3.305000000000007,24.118663575407822,246.8123067112574,0.7023286165625895,111.67589146922091,,,,,,,,,,,,,,,,,,,1.0,17.983,13.198,7.77,18.783,13.775,20.579,,,,,397.86,15.347999999999999
2,Chan,1,C,HH,25,Y,5,0,4,0.0,117.09063579673362,0.8,Wingman,202.849,45.759,9.258,47.32300000000001,14.122489952555668,465.899176396626,0.3944600524733422,135.44503513307063,Lead,213.402,62.682,0.0,37.131,24.416106040880777,120.67416495475844,0.3908677860743249,178.559714715982,Lead,347.417,34.964,3.833,45.209,-43.74766765886139,206.6719898994488,1.0507892054080323,170.7880712252778,Wingman,391.808,91.916,4.72,36.33699999999999,46.32413951478367,63.45807263511233,0.897773857216664,134.34210508615513,,,,,,,,,,1.0,6.983,23.284,21.229,18.269,9.263,14.27,19.359,,,,460.79,16.09385714285714
2,Chan,2,C,HA,6,Y,5,5,0,176.07368374554045,0.0,0.8,Wingman,181.688,37.246,2.894,45.649,30.73602370843332,240.35408365442345,0.6161391456485007,123.1635453012724,Lead,182.112,65.814,0.98,45.38,25.66016812843836,523.9349200999259,0.247572956954427,172.3099352590196,Wingman,348.402,43.298,2.206,55.535,-1.360195242925727,196.21470741100893,0.527031987650935,131.1611672051228,Lead,354.114,70.42,2.588,58.737,23.0387574338215,64.85566371335517,1.4383240535056896,172.57417478529987,,,,,,,,,,0.8333333333333334,11.272,13.189,11.23,30.0,13.263,30.0,,,,,423.705,18.159000000000002
2,Chan,3,D,HA,8,Y,6,2,0,8.02559222119523,0.0,0.3333333333333333,Wingman,195.653,80.882,22.992,46.03999999999999,16.267193250363448,53.839356903255975,0.8898220303086978,147.1021166207442,Lead,272.774,119.174,3.744,58.88300000000001,-25.439417306044614,382.4854801031033,1.3873772288477213,168.41638306054756,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,18.23,13.948,10.271,18.256,16.179,,,,,,379.974,15.3768
1,Schnell,1,C,HH,14,Y,5,2,0,269.79864660897084,0.0,0.8,Lead,240.438,131.96,68.767,53.67699999999999,-2.729259534250133,834.3950799177837,0.4350511102822691,163.54069995800194,Wingman,241.832,122.657,1.486,5.810000000000002,29.935865366386903,26.1930040468651,0.7510540668301321,125.2640907039439,Lead,411.946,37.181,5.682,84.77799999999999,-16.247955087029368,227.36138260283224,0.7427800516196785,117.69916354734175,Wingman,417.228,53.181,2.476,24.006,13.696194255908438,13.861242701195806,0.6980941855746423,135.64632811732662,,,,,,,,,,0.1666666666666666,30.0,30.0,26.389,30.0,30.0,30.0,,,,,422.531,29.39816666666667
1,Schnell,2,C,HA,4,Y,5,2,0,90.26518057928745,0.0,0.8,Lead,197.069,83.27,2.471,76.15100000000001,5.114839856771596,663.5844464349611,1.3561987875714967,169.02594514720238,Wingman,197.363,48.392,17.568,19.729000000000013,7.560672183777484,136.49355498681507,0.7762204525756509,123.57020735451772,Lead,359.069,36.277,5.411,55.792,-27.069681392630457,400.7563783405276,0.6202676863605031,103.48317885253256,Wingman,440.893,142.423,30.812,46.65100000000001,-2.030787350277961,122.23924296964832,0.3617282861800988,153.5851098383739,,,,,,,,,,0.1666666666666666,30.0,30.0,30.0,30.0,30.0,30.0,,,,,440.893,30.0
1,Schnell,3,C,AA,2,Y,5,0,0,0.0,0.0,0.8,Lead,184.032,39.056,6.09,40.53999999999999,34.32224285264704,347.8040053796958,1.1939621248161696,134.2553491880769,Lead,303.198,41.593,5.061,26.768,12.750650931526792,280.88629239854527,0.8310324959134202,147.71907374955538,Lead,393.133,84.029,11.992,-7.852000000000004,-16.537570026833862,173.60809347167924,0.7888294161907173,20.49811686203151,Wingman,402.586,189.245,1.263,-0.7160000000000082,15.05978479554551,82.40000115637304,0.2962177062311476,177.42972663287452,,,,,,,,,,0.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,402.586,30.0
1,Schnell,4,C,AH,14,Y,5,0,0,0.0,0.0,0.8,Lead,160.013,41.37,4.069,28.24700000000001,22.646335276504544,76.15564117109898,0.5393580993757564,141.75884189887984,Wingman,201.054,92.555,1.561,-4.150000000000006,32.803901143842154,50.24236588784333,0.4724934236958609,118.57574496283335,Wingman,364.703,39.198,6.399,38.304,24.06155119708748,30.367320866163936,0.9411952829749232,96.4265332788612,Lead,365.129,81.958,9.257,8.21799999999999,15.638737750154291,57.13466106440501,1.129635427890176,161.61274177132265,,,,,,,,,,0.5,30.0,30.0,10.485,25.046,30.0,30.0,,,,,422.731,25.921833333333336
1,Chan,1,B,HH,29,Y,5,2,0,52.42833315759759,0.0,1.0,Wingman,173.207,66.183,10.481,39.172,6.809127589158777,243.842275971263,0.7883649020384963,145.86349609321445,Lead,219.827,144.452,10.289,51.50200000000001,5.594427585354481,581.4083955517181,1.2922819697040442,157.64658295867275,Wingman,459.636,48.631,12.836,9.927999999999995,-2.9526463163928724,27.77002425140563,0.361146533230773,154.1567788972094,Lead,529.031,101.563,4.333,52.45500000000001,-0.483478325331788,457.2828804520868,1.384756529904256,136.22925079824853,Wingman,551.434,40.635,8.34,77.80000000000001,-36.2277976254062,100.27161245444768,1.1651254744645314,51.79083715212198,0.625,22.533,30.0,25.248,30.0,30.0,29.266,15.503,30.0,,,551.434,26.56875
1,Chan,2,C,HH,25,Y,5,2,0,133.06599838854876,0.0,1.0,Wingman,136.985,45.391,1.672,43.608,-1.4502882511225437,242.14965056961773,0.629749542397254,158.34348279540666,Lead,147.29,59.59,3.492,46.65100000000001,0.3916185516347639,442.59935757779385,1.3994859140453286,172.88712413014116,Wingman,289.954,50.146,6.757,37.131,-4.446279769113374,215.0566285738114,0.5054722554032809,126.5418045940604,Lead,365.259,113.364,13.592,44.219,14.400501920975104,213.26858196947975,1.327252998990169,170.31851496564957,Wingman,380.152,46.443,9.84,51.33099999999999,-6.59512019331396,142.88818789537982,1.2893669713268812,40.01999412602518,0.8,30.0,30.0,30.0,30.0,30.0,,,,,,380.152,30.0
