Subject_ac,Timestamp,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Aplication_ac,EntId_ac,Site_ac,ExersiseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,EcefX_ac,EcefY_ac,EcefZ_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Apperance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Subject_cm,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Aplication_cm,EntId_cm,Site_cm,ExersiseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,EcefX_cm,EcefY_cm,EcefZ_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Apperance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,Intercept_Criteria,Intercept_Complete
1,1970-07-23 09:33:53.732316354,2025-09-08,2025-09-11 20:29:33.231,HA,A,1779692764,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164586.87054266644,-4787991.215440882,4201324.493393614,-2.95407,-1.20147,0.820035,31.7903,-72.9216,-84.7967,-0.279149,-8.43673,6.54264,0.0313806,0.00765347,-0.00435989,4,0,41.440011202472064,-91.96876329224322,10630.628756752105,164.454642293269,-0.7800855225940398,-6.383319963137,12000,10000,150,1,2025-09-08,2025-09-11 20:29:32.408,HA,A,37399092,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-164101.01770194,-4790247.298799361,4199419.089323521,-2.30116,-0.150426,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.413828004546886,-91.96203236808962,12000.003306967605,100.00995918399823,-0.003757003803865,0.0029410177294301,12000,10000,150,True,1.5999209066568698,False,62.96180336494174,69.36217672616533,False,False,False
1,1970-07-23 09:33:53.732656451,2025-09-08,2025-09-11 20:29:33.265,HA,A,1779732530,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164585.31483379094,-4787994.408349961,4201320.700296066,-2.95198,-1.20064,0.820537,31.8978,-72.7975,-84.8691,-0.30719,-8.3922,6.57586,0.0460009,0.00200465,-0.011332,4,0,41.43996692512584,-91.9687433858942,10630.109328335133,164.43212653592985,-0.8171270543468473,-6.297994815921174,12000,10000,150,1,2025-09-08,2025-09-11 20:29:33.235,HA,A,38592138,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-164004.75940115875,-4790261.894502486,4199406.284636021,-2.30116,-0.150426,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41367436954664,-91.96087640869936,11999.998854255567,100.01072384177832,-0.0028765811818674,0.0029404138131115,12000,10000,150,True,1.616782231271783,False,62.909593463588415,67.63600671074722,False,False,False
1,1970-07-23 09:33:53.734319369,2025-09-08,2025-09-11 20:29:33.431,HA,A,1779931364,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164580.30610435552,-4788005.798531992,4201307.40816533,-2.94519,-1.19941,0.819537,32.0244,-72.94,-84.6135,-0.255429,-8.24795,6.43136,0.0382236,0.00613047,-0.00744749,4,0,41.43981047540963,-91.96867883980056,10628.821405620722,164.36951017564854,-0.7763156087430385,-5.959268251152503,12000,10000,150,1,2025-09-08,2025-09-11 20:29:33.235,HA,A,38592138,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-164004.75940115875,-4790261.894502486,4199406.284636021,-2.30116,-0.150426,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41367436954664,-91.96087640869936,11999.998854255567,100.01072384177832,-0.0028765811818674,0.0029404138131115,12000,10000,150,True,1.6069872863687278,False,62.831679178890674,67.66665416513959,False,False,False
1,1970-07-23 09:33:53.734982220,2025-09-08,2025-09-11 20:29:33.498,HA,A,1780010896,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164577.8520195384,-4788011.382578079,4201300.918982283,-2.94197,-1.199,0.81989,32.0727,-73.0773,-84.4449,-0.27291,-8.23354,6.44868,0.0349488,-0.00555831,-0.000870729,4,0,41.4397339596321,-91.96864721345334,10628.24945251856,164.36014113832505,-0.8003548585399876,-5.791798334976009,12000,10000,150,1,2025-09-08,2025-09-11 20:29:33.235,HA,A,38592138,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-164004.75940115875,-4790261.894502486,4199406.284636021,-2.30116,-0.150426,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41367436954664,-91.96087640869936,11999.998854255567,100.01072384177832,-0.0028765811818674,0.0029404138131115,12000,10000,150,True,1.6021963804085506,False,62.80036325141764,67.68185617612522,False,False,False
1,1970-07-23 09:33:53.738660316,2025-09-08,2025-09-11 20:29:33.866,HA,A,1780448330,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164566.23781013902,-4788037.533632488,4201270.464768155,-2.9273,-1.19838,0.818445,32.3538,-73.0492,-84.1085,-0.298005,-8.12084,6.41706,0.0416899,-0.00115577,0.00344651,4,0,41.4393752141983,-91.96849765287908,10625.421690369065,164.31254918290213,-0.7280698069003876,-4.977001837747747,12000,10000,150,1,2025-09-08,2025-09-11 20:29:33.235,HA,A,38592138,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-164004.75940115875,-4790261.894502486,4199406.284636021,-2.30116,-0.150426,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41367436954664,-91.96087640869936,11999.998854255567,100.01072384177832,-0.0028765811818674,0.0029404138131115,12000,10000,150,True,1.5797228978123197,False,62.626811242790325,67.75647596327316,False,False,False
1,1970-07-23 09:33:53.742988544,2025-09-08,2025-09-11 20:29:34.298,HA,A,1780965296,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164551.89930961162,-4788069.482812797,4201233.412370096,-2.91779,-1.19784,0.816181,32.6094,-72.9562,-83.7137,-0.268147,-8.09122,6.18067,-0.00069804,0.00210036,-0.00104966,4,0,41.43893799812865,-91.96831315081116,10622.290018101472,164.25404450108977,-0.6099918155947198,-4.453591340593955,12000,10000,150,1,2025-09-08,2025-09-11 20:29:33.966,HA,A,39725532,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163913.31408865875,-4790275.759736861,4199394.122526646,-2.30116,-0.15033,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41352842540479,-91.9597782534787,12000.002621281335,100.00781663356572,-0.00609711409877,0.0022238098842561,12000,10000,150,True,1.5722020568130062,False,62.45297023822213,66.17249278586797,False,False,False
1,1970-07-23 09:33:53.746656236,2025-09-08,2025-09-11 20:29:34.665,HA,A,1781402728,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164540.1023433786,-4788095.578917719,4201203.214652501,-2.92454,-1.19417,0.813827,32.838,-72.892,-83.4101,-0.286208,-8.14022,6.21054,-0.0438974,0.0048301,-0.0106807,4,0,41.43858134692493,-91.96816143204252,10619.870679034686,164.07593668676486,-0.5240106799893344,-4.991853267068456,12000,10000,150,1,2025-09-08,2025-09-11 20:29:33.966,HA,A,39725532,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163913.31408865875,-4790275.759736861,4199394.122526646,-2.30116,-0.15033,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41352842540479,-91.9597782534787,12000.002621281335,100.00781663356572,-0.00609711409877,0.0022238098842561,12000,10000,150,True,1.5497842268994586,False,62.30414377964914,66.23177864810859,False,False,False
1,1970-07-23 09:33:53.748321975,2025-09-08,2025-09-11 20:29:34.832,HA,A,1781601562,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164534.63353502608,-4788107.840143621,4201189.399774861,-2.93019,-1.19188,0.812662,32.7903,-74.2486,-82.3751,-0.286208,-8.14022,6.21054,-0.0438974,0.0048301,-0.0106807,4,0,41.438416279254575,-91.96809103196686,10619.551466485653,163.97023181560044,-0.4871479836983641,-5.41007337350097,12000,10000,150,1,2025-09-08,2025-09-11 20:29:33.966,HA,A,39725532,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163913.31408865875,-4790275.759736861,4199394.122526646,-2.30116,-0.15033,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41352842540479,-91.9597782534787,12000.002621281335,100.00781663356572,-0.00609711409877,0.0022238098842561,12000,10000,150,True,1.5394071167746055,False,62.320671515927444,66.25981500216444,False,False,False
1,1970-07-23 09:33:53.750316957,2025-09-08,2025-09-11 20:29:35.031,HA,A,1781840162,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164527.77836386257,-4788122.591423904,4201171.994021723,-2.94093,-1.19111,0.8107,33.1331,-72.6912,-83.1644,-0.221657,-8.14913,6.41779,-0.0523155,0.00636558,-0.00806959,4,0,41.438212447298135,-91.9680030396126,10617.439269351677,163.90747383008244,-0.3888902400474543,-6.056783988297098,12000,10000,150,1,2025-09-08,2025-09-11 20:29:34.963,HA,A,40799274,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163826.68152029935,-4790288.893525924,4199382.597136021,-2.30116,-0.15033,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41339014009318,-91.95873789913392,11999.998764377437,100.008504815596,-0.0053047346327098,0.0022232220212655,12000,10000,150,True,1.546589967813984,False,62.11871093613434,64.69743136958728,False,False,False
1,1970-07-23 09:33:53.753653406,2025-09-08,2025-09-11 20:29:35.365,HA,A,1782237828,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164516.53543756914,-4788146.152998618,4201144.788222007,-2.96437,-1.18949,0.805946,33.5413,-72.7358,-82.7113,-0.252067,-8.21659,6.54648,-0.0765981,0.016005,-0.0170931,4,0,41.437890953805216,-91.9678589869124,10615.334692557137,163.7641086425568,-0.1482688535317803,-7.4659381269828735,12000,10000,150,1,2025-09-08,2025-09-11 20:29:34.963,HA,A,40799274,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163826.68152029935,-4790288.893525924,4199382.597136021,-2.30116,-0.15033,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41339014009318,-91.95873789913392,11999.998764377437,100.008504815596,-0.0053047346327098,0.0022232220212655,12000,10000,150,True,1.5262674535147833,False,61.87482162568977,64.74458031802612,False,False,False
1,1970-07-23 09:33:53.757312952,2025-09-08,2025-09-11 20:29:35.731,HA,A,1782675260,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164503.9110317411,-4788173.16753391,4201113.895273221,-2.99442,-1.18459,0.801449,34.0325,-72.5738,-82.3745,-0.173449,-8.28143,6.58278,-0.0912996,0.0121559,-0.0135416,4,0,41.437524313665904,-91.9676970062768,10613.59617748692,163.5001270006101,0.038221411279282,-9.390013087587253,12000,10000,150,1,2025-09-08,2025-09-11 20:29:34.963,HA,A,40799274,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163826.68152029935,-4790288.893525924,4199382.597136021,-2.30116,-0.15033,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41339014009318,-91.95873789913392,11999.998764377437,100.008504815596,-0.0053047346327098,0.0022232220212655,12000,10000,150,True,1.5031197523726505,False,61.586969289069366,64.79596130744065,False,False,False
1,1970-07-23 09:33:53.760979746,2025-09-08,2025-09-11 20:29:36.097,HA,A,1783112694,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164491.54934832564,-4788199.2238778,4201084.275012326,-3.02499,-1.17764,0.798144,34.5913,-72.5096,-81.9527,-0.164586,-8.21334,6.57646,-0.10215,0.00194432,-0.0251409,4,0,41.43717190930124,-91.96753856090255,10612.28876148152,163.17774739288703,0.1330568672370618,-11.427412331442124,12000,10000,150,1,2025-09-08,2025-09-11 20:29:34.963,HA,A,40799274,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163826.68152029935,-4790288.893525924,4199382.597136021,-2.30116,-0.15033,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41339014009318,-91.95873789913392,11999.998764377437,100.008504815596,-0.0053047346327098,0.0022232220212655,12000,10000,150,False,1.480838465575117,True,61.26424479568446,64.85139552822466,False,False,False
1,1970-07-23 09:33:53.762983826,2025-09-08,2025-09-11 20:29:36.298,HA,A,1783351294,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164484.19945924208,-4788214.3080096,4201067.197834546,-3.04221,-1.17191,0.797831,34.9685,-72.6208,-81.6691,-0.113333,-8.07367,6.581,-0.101382,0.00671304,-0.0160924,4,0,41.436968413421695,-91.9674445223941,10611.668192609137,162.9546223193212,0.0786664369644069,-12.64962115590718,12000,10000,150,1,2025-09-08,2025-09-11 20:29:34.963,HA,A,40799274,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163826.68152029935,-4790288.893525924,4199382.597136021,-2.30116,-0.15033,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41339014009318,-91.95873789913392,11999.998764377437,100.008504815596,-0.0053047346327098,0.0022232220212655,12000,10000,150,False,1.4679420309722653,True,61.06001959790437,64.88843046258357,False,False,False
1,1970-07-23 09:33:53.766653417,2025-09-08,2025-09-11 20:29:36.665,HA,A,1783788726,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-164471.45651846402,-4788240.330942062,4201037.814359458,-3.06939,-1.15983,0.794804,35.7103,-72.4649,-81.2728,-0.137658,-8.09709,6.49551,-0.097633,0.0166167,-0.0300719,4,0,41.436617882957606,-91.9672815366987,10610.761961131224,162.4404446255623,0.0890493251254274,-14.70244731361868,12000,10000,150,1,2025-09-08,2025-09-11 20:29:34.963,HA,A,40799274,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163826.68152029935,-4790288.893525924,4199382.597136021,-2.30116,-0.15033,0.130772,96.25,-14.5,-12.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.41339014009318,-91.95873789913392,11999.998764377437,100.008504815596,-0.0053047346327098,0.0022232220212655,12000,10000,150,False,1.4457164736148296,True,60.64394954561787,64.95548437459257,False,False,False
