Subject,Timestamp,SampleDate,SampleTime,TestCard,DisSource,DisTime,MarkingTxt,Aplication,EntId,Site,ExersiseId,ForceId,Category,Country,Domain,Kind,Extra,Specific,Subcategory,AltCategory,AltCountry,AltDomain,AltKind,EcefX,EcefY,EcefZ,OriPhi,OriPsi,OriTheta,LinVelX,LinVelY,LinVelZ,LinAccX,LinAccY,LinAccZ,AngVelX,AngVelY,AngVelZ,DrAlg,Apperance,Latitude,Longitude,Altitude,Heading,Pitch,Roll
613,17498312772525753,2025-06-13,16:14:37.252,NA,coresim,545173986,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.78489746117,-4772182.003454231,4215813.781350096,-2.32231,-0.276995,0.223427,0.0488638,-0.219309,-0.0708677,-0.220635,-7.09681,6.7803,0.000841601,0.000951872,0.00175706,4,0,41.63858104102181,-91.54053801371789,623.7523844375899,109.03441236732009,1.9001805337724789,0.514487993099149
613,17498312777194958,2025-06-13,16:14:37.719,NA,coresim,545730718,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.88081774776,-4772181.9098054515,4215813.951697146,-2.32475,-0.277784,0.222677,0.0127496,-0.158442,0.00457904,-0.216091,-7.08022,6.78253,0.00316563,-0.00368577,-0.00470527,4,0,41.638582731819014,-91.54053919474065,623.9005066687092,109.0336978406106,1.9617178018939325,0.384638182811616
613,17498312781869820,2025-06-13,16:14:38.186,NA,coresim,546287452,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.86824711793,-4772181.965261434,4215813.925313714,-2.3228,-0.276917,0.222957,0.0177047,-0.176807,-0.0167203,-0.205066,-7.06652,6.77792,0.0102084,-0.00595362,0.00125772,4,0,41.63858222469177,-91.54053902603073,623.9780906296576,109.01191111952748,1.9155658171826797,0.4849529203898151
613,17498312786524001,2025-06-13,16:14:38.652,NA,coresim,546844184,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.89590340038,-4772181.951016083,4215813.91334126,-2.32284,-0.277226,0.222626,0.0119931,-0.17502,-0.0165835,-0.219707,-7.06882,6.77718,0.00615128,-0.00506937,-0.000681395,4,0,41.63858222487159,-91.54053936243406,623.9188989946058,109.01006294227112,1.9411457367534795,0.4865195879669385
613,17498312791192255,2025-06-13,16:14:39.119,NA,coresim,547400916,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.88308992442,-4772181.997313354,4215813.859995927,-2.32173,-0.277241,0.223198,0.0165281,-0.198175,-0.0414071,-0.218858,-7.05685,6.78406,0.00479265,0.00354221,-0.00407068,4,0,41.63858159113416,-91.54053919376575,623.9152445647608,109.0343644630906,1.919188537717235,0.5510337562658449
613,17498312791859232,2025-06-13,16:14:39.185,NA,coresim,547480450,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.8824744109,-4772182.026205113,4215813.872310044,-2.3214,-0.277228,0.222838,0.00193809,-0.668613,0.410845,-0.218858,-7.05685,6.78406,0.00479265,0.00354221,-0.00407068,4,0,41.638581501319834,-91.54053917705887,624.012862594915,109.01893949285879,1.932870793562013,0.5688220671649401
613,17498312795859631,2025-06-13,16:14:39.585,NA,coresim,547957650,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.95959937532,-4772181.964426174,4215813.945595745,-2.3225,-0.278162,0.222201,-0.0154677,-0.1734,-0.00971457,-0.222724,-7.08303,6.78173,0.0109741,-0.0111218,-0.00432868,4,0,41.63858235146604,-91.54054012230115,624.0262777103717,109.02849421582735,1.9958236442149793,0.5184620697954682
613,17498312800523678,2025-06-13,16:14:40.052,NA,coresim,548514382,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.96094597764,-4772182.015682917,4215813.903210692,-2.3217,-0.276794,0.222035,-0.0141232,-0.197297,-0.0346929,-0.213672,-7.07735,6.78971,0.00344651,-0.00467198,0.00217734,4,0,41.63858175954212,-91.54054012191848,624.0596047964408,108.96884879696427,1.9469984417796502,0.5444524651777555
613,17498312805191988,2025-06-13,16:14:40.519,NA,coresim,549071116,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128343.00251901822,-4772181.994015333,4215813.941566426,-2.32218,-0.277268,0.221232,-0.0277009,-0.17988,-0.016172,-0.188294,-7.06991,6.7763,-0.00184237,-0.00604725,-0.00211909,4,0,41.63858214051016,-91.54054062768331,624.0928480298649,108.95374783778767,1.9979046093890682,0.5227705232529428
613,17498312809868255,2025-06-13,16:14:40.986,NA,coresim,549627848,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128343.01044763294,-4772182.029344837,4215813.872748353,-2.32128,-0.277027,0.22102,-0.028,-0.201266,-0.0421811,-0.212363,-7.07661,6.77719,0.00757232,0.0011745,0.00191727,4,0,41.6385814649125,-91.54054071140762,624.0299494955724,108.93569824112608,1.9965230822489666,0.5703471622418377
613,17498312814523166,2025-06-13,16:14:41.452,NA,coresim,550184580,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.9401444276,-4772182.03562551,4215813.883087578,-2.32152,-0.276478,0.22127,0.00867715,-0.196394,-0.0346816,-0.207379,-7.05892,6.78093,0.00301374,-0.00662773,-0.00354013,4,0,41.63858150823018,-91.54053986591668,624.0632478139174,108.92492093560006,1.9644035950206253,0.5493448761625798
613,17498312819199018,2025-06-13,16:14:41.919,NA,coresim,550741314,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.93475730145,-4772182.096126643,4215813.823705794,-2.32015,-0.27688,0.222441,0.00957028,-0.223772,-0.0650031,-0.212867,-7.06922,6.7787,0.00109335,-0.000618977,-0.00547717,4,0,41.63858074774289,-91.54053978176314,624.0817385520136,108.9890368955405,1.9344609542394242,0.6353451545355016
613,17498312823869601,2025-06-13,16:14:42.386,NA,coresim,551298046,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.99564180136,-4772182.006053752,4215813.91468404,-2.32131,-0.277017,0.221855,-0.0150527,-0.181762,-0.017415,-0.209515,-7.06215,6.78526,0.00723735,-0.0021815,-0.00241453,4,0,41.638581888744405,-91.54054054128942,624.0633009127502,108.96997885231585,1.9631494064298844,0.5698881063411046
613,17498312828524251,2025-06-13,16:14:42.852,NA,coresim,551854778,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128343.00414961515,-4772182.062523792,4215813.864505948,-2.32027,-0.277739,0.221416,-0.0160016,-0.209294,-0.0476763,-0.214793,-7.06679,6.78552,0.00459915,-0.00223976,0.00186941,4,0,41.638581212056785,-91.54054062514142,624.0928901746571,108.97955920816236,2.009740745428032,0.63892656830266
613,17498312833191375,2025-06-13,16:14:43.319,NA,coresim,552411512,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128343.01670701898,-4772182.008751561,4215813.89233951,-2.32,-0.277289,0.221832,-0.0173673,-0.190938,-0.0292392,-0.216292,-7.07683,6.78194,-0.00174042,-0.00128061,-0.00972782,4,0,41.63858171887485,-91.54054079314939,624.0225934189261,108.97947581829004,1.9750778776850735,0.6489624975013121
613,17498312837859585,2025-06-13,16:14:43.785,NA,coresim,552968244,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128343.02553759929,-4772182.076522408,4215813.839618721,-2.31877,-0.27691,0.221889,-0.0195834,-0.222531,-0.0640717,-0.224735,-7.07723,6.7778,0.00262883,0.00340073,0.000396353,4,0,41.63858095744821,-91.54054087722744,624.0743600356259,108.96722744454455,1.95746342317494,0.7139055484835514
613,17498312841870511,2025-06-13,16:14:44.187,NA,coresim,553445444,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128343.0513480034,-4772182.731664155,4215814.35617155,-2.31797,-0.278043,0.22108,-0.109474,-3.05331,2.64694,-0.224735,-7.07723,6.7778,0.00262883,0.00340073,0.000396353,4,0,41.63858051130384,-91.5405409754995,626.8078750416896,108.97732638511943,2.0352759497498094,0.77449795377475
613,17498312842534438,2025-06-13,16:14:44.253,NA,coresim,553524978,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128343.03468951283,-4772182.156429358,4215813.7664770745,-2.31861,-0.277076,0.222198,-0.0215701,-0.256808,-0.10076,-0.233704,-7.08633,6.78799,-0.00206499,-0.00808207,0.00344651,4,0,41.63857998599147,-91.54054096124489,624.1113788930544,108.98648723919611,1.951954710476818,0.7259994299080375
